Name,Description,Combined Group,Unique Machines,Unique UserID, Count F,Count H,EULA Machines
,"",_1,3,1,2,1,3
,"",_4,2,2,2,0,2
,"",_5,2,1,2,0,2
,"",_2,1,2,1,0,1
,"",_3,1,1,1,0,1
,"",_6,1,1,1,0,1
,"",_7,1,1,1,0,1
,"",_8,1,1,1,0,1
,"",_9,1,1,1,0,1
,"",_10,1,1,1,0,1
,"",_11,1,1,1,0,1
,"",_12,1,1,1,0,1
,"",_13,1,1,1,0,1
,"",_14,1,1,1,0,1
,"",_15,1,1,1,0,1
,"",_16,1,1,1,0,1
,"",_17,1,1,1,0,1
,"",_18,1,1,0,0,0
,"",_19,1,1,1,0,1
,"",_20,1,1,1,0,1
,"",_21,1,1,1,0,1
,"",_22,1,1,1,0,1
,"",_23,1,1,1,0,1
,"",_24,1,1,1,0,1
,"",_25,1,1,1,0,1
,"",_26,1,1,1,0,1
,"",_27,1,1,1,0,1
,"",_28,1,1,1,0,1
,"",_29,1,1,1,0,1
,"",_30,1,1,1,0,1
,"",_31,1,1,1,0,1
,"",_32,1,1,1,0,1
,"",_33,1,1,1,0,1
,"",_34,1,1,1,0,1
,"",_35,1,1,1,0,1

